k,Sample Mean (Y),Sample Variance (Y),Sample Mean (2^Y),Sample Variance (2^Y),,,,log(2)k,Add. Constant,,Completion time (s)
152,7.5285,0.836871437,225.6704,24097.61633,,,,7.247927513,0.280572487,,
153,7.5495,0.826432393,228.7456,24955.43722,,,,7.257387843,0.292112157,,
154,7.5624,0.850991339,232.16,26919.93999,,,,7.266786541,0.295613459,,
155,7.5545,0.839913741,230.3232,26214.31217,,,,7.276124405,0.278375595,,
156,7.5792,0.845011861,234.5056,27206.83625,,,,7.285402219,0.293797781,,
157,7.604,0.825666567,237.3728,26766.8209,,,,7.294620749,0.309379251,,
158,7.5898,0.859421902,237.3056,28660.23343,,,,7.303780748,0.286019252,,
159,7.5985,0.819779728,236.0384,26111.61449,,,,7.312882955,0.285617045,,
160,7.629,0.843843384,242.5632,28750.63467,,,,7.321928095,0.307071905,,
161,7.6109,0.853386529,240.1088,28419.85415,,,,7.330916878,0.279983122,,
162,7.622,0.82339834,240.0448,26892.92729,,,,7.339850003,0.282149997,,
163,7.6318,0.832311991,242.24,27670.73507,,,,7.348728154,0.283071846,,
164,7.6452,0.84080104,244.9952,28956.52923,,,,7.357552005,0.287647995,,
165,7.6779,0.823033893,249.7344,29482.74333,,,,7.366322214,0.311577786,,
166,7.662,0.822838284,247.04,29107.0387,,,,7.375039431,0.286960569,,
167,7.6785,0.818419592,249.4016,28889.39806,,,,7.383704292,0.294795708,,
168,7.6955,0.808460596,251.9488,29542.86847,,,,7.392317423,0.303182577,,
169,7.6856,0.821634803,250.816,29434.09195,,,,7.400879436,0.284720564,,
170,7.6841,0.822589449,250.4704,28844.19274,,,,7.409390936,0.274709064,,
171,7.7133,0.829786089,256.176,30912.19304,,,,7.417852515,0.295447485,,
172,7.6943,0.819929503,252.0128,29322.58649,,,,7.426264755,0.268035245,,
173,7.7092,0.815916952,254.4064,29554.28467,,,,7.434628228,0.274571772,,
174,7.7386,0.829753015,260.3872,31307.53123,,,,7.442943496,0.295656504,,
175,7.7377,0.815780288,259.4464,30723.78991,,,,7.451211112,0.286488888,,
176,7.747,0.832274227,262.7136,33226.98627,,,,7.459431619,0.287568381,,
177,7.7595,0.811140864,262.9824,31204.18411,,,,7.46760555,0.29189445,,
178,7.7702,0.824274387,265.8784,32638.14823,,,,7.475733431,0.294466569,,
179,7.7599,0.815133503,263.3664,31751.68892,,,,7.483815777,0.276084223,,
180,7.7962,0.806946255,269.776,32980.36786,,,,7.491853096,0.304346904,,
181,7.8057,0.796627173,270.4096,31952.94752,,,,7.499845887,0.305854113,,
182,7.7788,0.821552715,267.472,33088.31645,,,,7.50779464,0.27100536,,
183,7.8112,0.824437004,273.6096,34320.20121,,,,7.515699838,0.295500162,,
184,7.7984,0.814638904,270.6368,33599.35122,,,,7.523561956,0.274838044,,
185,7.8289,0.7961044,274.9344,33204.46334,,,,7.531381461,0.297518539,,
186,7.847,0.831874187,280.944,36537.80264,,,,7.539158811,0.307841189,,
187,7.8354,0.793786219,275.9904,33388.24753,,,,7.54689446,0.28850554,,
188,7.8422,0.805579718,278.5584,35511.54014,,,,7.554588852,0.287611148,,
189,7.8501,0.822712261,281.0592,36380.26972,,,,7.562242424,0.287857576,,
190,7.861,0.793558356,281.2224,35016.86823,,,,7.569855608,0.291144392,,
191,7.8892,0.79400276,286.496,35775.77956,,,,7.577428828,0.311771172,,
192,7.8617,0.791252235,280.8992,34256.90193,,,,7.584962501,0.276737499,,
193,7.8671,0.801317722,282.7456,35406.94638,,,,7.592457037,0.274642963,,
194,7.8781,0.798120202,284.9088,36133.47543,,,,7.599912842,0.278187158,,
195,7.872,0.79809581,283.7376,36237.92294,,,,7.607330314,0.264669686,,
196,7.9158,0.810191379,292.8352,37678.84633,,,,7.614709844,0.301090156,,
197,7.9096,0.814709311,291.936,37880.59676,,,,7.622051819,0.287548181,,
198,7.905,0.800655066,289.9872,36527.72941,,,,7.62935662,0.27564338,,
199,7.911,0.806559656,291.9584,38058.92096,,,,7.636624621,0.274375379,,
200,7.9206,0.794575098,293.0688,37882.06987,,,,7.64385619,0.27674381,,
201,7.9353,0.782592169,295.0144,37311.0733,,,,7.651051691,0.284248309,,
202,7.9508,0.797659126,299.3536,39298.41121,,,,7.658211483,0.292588517,,
203,7.939,0.788757876,295.968,37384.65264,,,,7.665335917,0.273664083,,
204,7.9564,0.806579698,300.9408,39819.0072,,,,7.672425342,0.283974658,,
205,7.9428,0.791807341,297.1808,38134.07992,,,,7.6794801,0.2633199,,
